sen,pos_neg,sen2,senti_score,pred
"[('닥터', 'NNP'), ('지', 'NNB'), ('더', 'MAG'), ('모', 'MM'), ('이스', 'NNP'), ('처', 'NNG'), ('배', 'NNG'), ('리어', 'NNP'), ('인', 'NNG'), ('텐', 'NNG'), ('스크림', 'NNP'), ('제가', 'NNP'), ('이', 'MM'), ('제품', 'NNG'), ('을', 'JKO'), ('사용', 'NNG'), ('하', 'XSV'), ('고', 'EC'), ('이렇', 'VA'), ('게', 'EC'), ('오랜', 'MM'), ('기간', 'NNP'), ('사용', 'NNG'), ('하', 'XSV'), ('게', 'EC'), ('되', 'VV'), ('ㄹ', 'ETM'), ('줄', 'NNB'), ('은', 'JX'), ('모르', 'VV'), ('았', 'EP'), ('는데', 'EC'), ('년', 'NNB'), ('반', 'NNP'), ('동안', 'NNG'), ('이', 'MM'), ('제품', 'NNG'), ('을', 'JKO'), ('꾸준히', 'MAG'), ('사용', 'NNG'), ('하', 'XSV'), ('고', 'EC'), ('있', 'VV'), ('어요', 'EC'), ('밤', 'NNG'), ('기초', 'NNG'), ('마무리', 'NNG'), ('단계', 'NNG'), ('로', 'JKB'), ('수분크림', 'NNG'), ('용', 'XSN'), ('으로', 'JKB'), ('사용', 'NNG'), ('중', 'NNB'), ('이', 'VCP'), ('ㄴ데', 'EC'), ('사용', 'NNG'), ('하', 'XSV'), ('ㄹ', 'ETM'), ('때', 'NNG'), ('는', 'JX'), ('잘', 'MAG'), ('모르', 'VV'), ('겠', 'EP'), ('다', 'EC'), ('싶', 'VX'), ('어도', 'EC'), ('사용', 'NNG'), ('하', 'XSV'), ('지', 'EC'), ('않', 'VX'), ('으면', 'EC'), ('아침', 'NNG'), ('에', 'JKB'), ('건조', 'NNG'), ('하', 'XSV'), ('ㅁ', 'ETN'), ('을', 'JKO'), ('느끼', 'VV'), ('게', 'EC'), ('되', 'VV'), ('는', 'ETM'), ('제품', 'NNG'), ('이', 'VCP'), ('ㅂ니다', 'EC'), ('피부', 'NNG'), ('자극', 'NNG'), ('도', 'JX'), ('없', 'VA'), ('고', 'EC'), ('꾸덕한듯', 'NA'), ('가볍', 'VA'), ('ㄴ듯', 'EC'), ('알쏭하게', 'NA'), ('발리', 'NNP'), ('는', 'JX'), ('발림성', 'NNG'), ('이', 'VCP'), ('지만', 'EC'), ('저녁', 'NNG'), ('기초', 'NNG'), ('마무리', 'NNG'), ('단계', 'NNG'), ('에', 'JKB'), ('수', 'NNB'), ('피부', 'NNG'), ('를', 'JKO'), ('덮', 'VV'), ('어', 'EC'), ('주', 'VX'), ('듯', 'EC'), ('가득', 'MAG'), ('바르', 'VA'), ('고', 'EC'), ('자', 'VV'), ('면', 'EC'), ('다음날', 'NNG'), ('까지', 'JX'), ('수분', 'NNP'), ('장벽', 'NNG'), ('을', 'JKO'), ('잘', 'MAG'), ('지키', 'VV'), ('어', 'EC'), ('주', 'VX'), ('는', 'ETM'), ('크림', 'NNP'), ('이', 'VCP'), ('ㅂ니다', 'EC'), ('제가', 'NNP'), ('조금', 'MAG'), ('노화', 'NNP'), ('방지', 'NNG'), ('를', 'JKO'), ('위하', 'VV'), ('아', 'EC'), ('더 리치', 'NNP'), ('한', 'NNP'), ('제품', 'NNG'), ('들', 'XSN'), ('로', 'JKB'), ('업그레이드', 'NNP'), ('해서', 'NNP'), ('크림', 'NNP'), ('을', 'JKO'), ('바르', 'VA'), ('면', 'EC'), ('피부', 'NNP'), ('트러블', 'NNP'), ('이', 'JKS'), ('폭발', 'NNG'), ('하', 'XSV'), ('ㄹ', 'ETM'), ('때', 'NNG'), ('가', 'JKS'), ('있', 'VV'), ('는데', 'EC'), ('그', 'NP'), ('들', 'XSN'), ('을', 'JKO'), ('중단', 'NNG'), ('하', 'XSV'), ('고', 'EC'), ('다시', 'MAG'), ('닥터', 'NNP'), ('지', 'NNB'), ('더', 'MAG'), ('모', 'MM'), ('이스', 'NNP'), ('처', 'NNG'), ('배', 'NNG'), ('리어', 'NNP'), ('로', 'NNG'), ('돌아오', 'VV'), ('게', 'EC'), ('하', 'VV'), ('는', 'ETM'), ('마법', 'NNP'), ('같', 'VA'), ('은', 'ETM'), ('제품', 'NNG'), ('이', 'VCP'), ('ㅂ니다', 'EC'), ('순하', 'VA'), ('ㄴ', 'ETM'), ('제품', 'NNG'), ('이', 'VCP'), ('라', 'EC'), ('자극', 'NNG'), ('을', 'JKO'), ('원하', 'VV'), ('지', 'EC'), ('않', 'VX'), ('는', 'ETM'), ('분', 'NNB'), ('들', 'XSN'), ('에게', 'JKB'), ('좋', 'VA'), ('은', 'ETM'), ('수분', 'NNP'), ('장벽', 'NNG'), ('크림', 'NNP'), ('이', 'VCP'), ('니', 'EC'), ('사용', 'NNG'), ('하', 'XSV'), ('아', 'EC'), ('보', 'VX'), ('시', 'EP'), ('는', 'ETM'), ('걸', 'VV'), ('ㄹ', 'ETM'), ('권유', 'NNG'), ('하', 'XSV'), ('ㅂ니다', 'EC'), ('저', 'NP'), ('는', 'JX'), ('이', 'MM'), ('후기', 'NNG'), ('쓰', 'VV'), ('는', 'ETM'), ('여행지', 'NNG'), ('에서', 'JKB'), ('도', 'JX'), ('꼭', 'MAG'), ('챙기', 'VV'), ('어', 'EC'), ('오', 'VX'), ('는', 'ETM'), ('제품', 'NNP'), ('이예', 'NNP'), ('요', 'JX')]",1.0,"['닥터', '더', '이스', '처', '배', '리어', '인', '텐', '스크림', '제가', '제품', '사용', '이렇', '기간', '사용', '되', '모르', '반', '동안', '제품', '꾸준히', '사용', '있', '밤', '기초', '마무리', '단계', '수분크림', '사용', '사용', '때', '', '', '사용', '아침', '건조', '느끼', '되', '제품', '피부', '자극', '없', '가볍', '발리', '발림성', '저녁', '기초', '마무리', '단계', '피부', '덮', '가득', '바르', '자', '다음날', '수분', '장벽', '', '', '크림', '제가', '조금', '노화', '방지', '위하', '더 리치', '한', '제품', '업그레이드', '해서', '크림', '바르', '피부', '트러블', '폭발', '때', '있', '중단', '다시', '닥터', '더', '이스', '처', '배', '리어', '로', '돌아오', '하', '마법', '같', '제품', '순하', '제품', '자극', '원하', '좋', '수분', '장벽', '크림', '사용', '걸', '권유', '후기', '쓰', '여행지', '꼭', '챙기', '제품', '이예']",0,0
"[('악건성', 'NNG'), ('이', 'VCP'), ('ㄴ데', 'EC'), ('화장', 'NNG'), ('하', 'XSV'), ('기', 'ETN'), ('전', 'NNG'), ('에', 'JKB'), ('무조건', 'MAG'), ('바르', 'VA'), ('는', 'ETM'), ('크림', 'NNP'), ('이', 'VCP'), ('ㅂ니다', 'EC'), ('화장', 'NNP'), ('잘', 'MAG'), ('뜨', 'VV'), ('고', 'EC'), ('각질', 'NNG'), ('많이', 'MAG'), ('일어나', 'VV'), ('시', 'EP'), ('는', 'ETM'), ('건성', 'NNG'), ('분', 'NNB'), ('들', 'XSN'), ('은', 'JX'), ('진짜', 'MAG'), ('정말', 'NNP'), ('정말', 'NNP'), ('추천드랴요ㅛ', 'NA'), ('지성', 'NNG'), ('이나', 'JC'), ('복합성', 'NNG'), ('분', 'NNB'), ('들', 'XSN'), ('은', 'JX'), ('많이', 'MAG'), ('기름지', 'VA'), ('다고', 'EC'), ('느끼', 'VV'), ('ㄹ', 'ETM'), ('수', 'NNB'), ('도', 'JX'), ('있', 'VV'), ('을', 'ETM'), ('것', 'NNB'), ('같슴다', 'NA')]",1.0,"['악건성', '화장', '전', '무조건', '바르', '크림', '화장', '잘', '뜨', '각질', '많이', '일어나', '건성', '진짜', '정말', '정말', '지성', '복합성', '많이', '기름지', '느끼', '있']",0,0
"[('현직', 'NNG'), ('메', 'NNG'), ('컵', 'NNG'), ('아티스트', 'NNP'), ('이', 'VCP'), ('ㅂ니다', 'EC'), ('이것', 'NP'), ('안', 'MAG'), ('맞', 'VV'), ('는', 'ETM'), ('분', 'NNB'), ('한', 'MM'), ('번', 'NNB'), ('도', 'JX'), ('못', 'MAG'), ('보', 'VV'), ('았', 'EP'), ('어', 'EC'), ('용', 'XSN'), ('기초', 'NNG'), ('하', 'XSV'), ('ㄹ', 'ETM'), ('때', 'NNG'), ('선크림', 'NNG'), ('직전', 'NNG'), ('에', 'JKB'), ('바르', 'VV'), ('아', 'EC'), ('주', 'VX'), ('고', 'EC'), ('흡수', 'NNG'), ('시키', 'XSV'), ('어', 'EC'), ('주', 'VX'), ('고', 'EC'), ('선크림', 'NNG'), ('들어가', 'VV'), ('는데', 'EC'), ('이것', 'NP'), ('만큼', 'JKB'), ('피부', 'NNG'), ('를', 'JKO'), ('쫀쫀하고', 'NA'), ('자극', 'NNG'), ('없', 'VA'), ('는', 'ETM'), ('거', 'NNB'), ('아직', 'MAG'), ('못', 'MAG'), ('찾', 'VV')]",1.0,"['현직', '메', '컵', '아티스트', '안', '맞', '못', '보', '기초', '때', '선크림', '직전', '바르', '흡수', '선크림', '들어가', '피부', '자극', '없', '아직', '못', '찾']",-6,0
"[('보습', 'NNG'), ('필요', 'NNG'), ('하', 'XSV'), ('ㄹ', 'ETM'), ('때', 'NNG'), ('사용', 'NNG'), ('하', 'XSV'), ('고', 'EC'), ('있', 'VV'), ('어요', 'EC'), ('가볍', 'VA'), ('게', 'EC'), ('바르', 'VA'), ('기', 'ETN'), ('좋', 'VA'), ('고', 'EC'), ('보습', 'NNG'), ('을', 'JKO'), ('필요', 'NNG'), ('로', 'JKB'), ('하', 'VV'), ('ㄹ', 'ETM'), ('때', 'NNG'), ('는', 'JX'), ('듬뿍', 'MAG'), ('바르', 'VV'), ('아', 'EC'), ('주', 'VX'), ('고', 'EC'), ('있', 'VV'), ('어요', 'EC')]",1.0,"['보습', '필요', '때', '사용', '있', '가볍', '바르', '좋', '보습', '필요', '하', '때', '듬뿍', '바르', '있']",5,1
"[('다른', 'MM'), ('크림', 'NNG'), ('들', 'XSN'), ('과', 'JC'), ('비교', 'NNG'), ('하', 'XSV'), ('아서', 'EC'), ('확실히', 'MAG'), ('가려움', 'NNP'), ('에', 'JKB'), ('효과', 'NNG'), ('가', 'JKS'), ('있', 'VV'), ('어요', 'EC'), ('그래서', 'MAJ'), ('저', 'NP'), ('는', 'JX'), ('아토피', 'NNP'), ('올라오', 'VV'), ('는', 'ETM'), ('부분', 'NNG'), ('에', 'JKB'), ('바르', 'VV'), ('아', 'EC'), ('주', 'VX'), ('는데', 'EC'), ('세라마이드', 'NNG'), ('크림', 'NNP'), ('특유', 'NNG'), ('의', 'JKG'), ('보', 'NNB'), ('들보', 'NNP'), ('들', 'XSN'), ('하', 'XSV'), ('ㄴ', 'ETM'), ('촉감', 'NNG'), ('으로', 'JKB'), ('마무리', 'NNG'), ('되', 'XSV'), ('서', 'EC'), ('옷감', 'NNP'), ('에', 'JKB'), ('스치', 'VV'), ('어도', 'EC'), ('자극', 'NNG'), ('이', 'JKS'), ('없', 'VA'), ('어서', 'EC'), ('좋', 'VA'), ('아요', 'EC'), ('얼굴', 'NNG'), ('에', 'JKB'), ('바르', 'VA'), ('면', 'EC'), ('다른', 'MM'), ('크림', 'NNP'), ('은', 'JX'), ('간질', 'NNP'), ('간질', 'NNP'), ('것', 'NNB'), ('림', 'NNP'), ('이', 'JKS'), ('조금', 'NNG'), ('씩', 'XSN'), ('있', 'VV'), ('는데', 'EC'), ('이', 'MM'), ('크림', 'NNP'), ('은', 'JX'), ('안', 'MAG'), ('그러', 'VV'), ('어요', 'EC'), ('대신', 'NNG'), ('건성', 'NNG'), ('이', 'VCP'), ('ㅁ', 'ETN'), ('에', 'JKB'), ('도', 'JX'), ('불구', 'XR'), ('하', 'XSA'), ('고', 'EC'), ('여름', 'NNG'), ('에', 'JKB'), ('는', 'JX'), ('얼굴', 'NNG'), ('에', 'JKB'), ('바르', 'VA'), ('면', 'EC'), ('자잘', 'XR'), ('자잘', 'XR'), ('하', 'XSA'), ('게', 'EC'), ('좁쌀', 'NNG'), ('이', 'JKS'), ('턱밑', 'NNG'), ('에', 'JKB'), ('가끔', 'MAG'), ('생기', 'VV'), ('더라고요', 'EC'), ('이', 'MM'), ('부분', 'NNG'), ('은', 'JX'), ('겨울', 'NNG'), ('에', 'JKB'), ('바르', 'VA'), ('면', 'EC'), ('괜찮', 'VA'), ('을', 'ETM'), ('거', 'NNB'), ('같', 'VA'), ('기', 'ETN'), ('도', 'JX'), ('하', 'VV'), ('아요', 'EC'), ('그리고', 'MAJ'), ('막', 'MAG'), ('때', 'NNG'), ('처럼', 'JKB'), ('밀리', 'VV'), ('는', 'ETM'), ('건', 'NNB'), ('아니', 'VCN'), ('ㄴ데', 'EC'), ('많이', 'MAG'), ('문지르', 'VV'), ('면', 'EC'), ('실리콘', 'NNP'), ('연고', 'NNG'), ('밀리', 'VV'), ('는', 'ETM'), ('거', 'NNB'), ('처럼', 'JKB'), ('약간', 'MAG'), ('밀리', 'VV'), ('어요', 'EC'), ('그렇', 'VA'), ('다고', 'EC'), ('화장', 'NNG'), ('하', 'XSV'), ('ㄹ', 'ETM'), ('때', 'NNG'), ('막', 'MAG'), ('문제', 'NNG'), ('가', 'JKS'), ('되', 'VV'), ('거나', 'EC'), ('하', 'VV'), ('지', 'EC'), ('는', 'JX'), ('않', 'VX'), ('는', 'ETM'), ('정도', 'NNP'), ('뭐', 'NP'), ('이러', 'XR'), ('하', 'XSA'), ('ㄴ', 'ETM'), ('거슬리', 'VV'), ('는', 'ETM'), ('부분', 'NNG'), ('들', 'XSN'), ('이', 'JKS'), ('있', 'VV'), ('기', 'ETN'), ('ㄴ', 'JX'), ('하', 'VV'), ('ㄴ데', 'EC'), ('간지럽', 'VA'), ('ㅁ', 'ETN'), ('이나', 'JX'), ('속', 'NNG'), ('보습', 'NNG'), ('은', 'JX'), ('확실히', 'MAG'), ('잡', 'VV'), ('아', 'EC'), ('주', 'VX'), ('는', 'ETM'), ('것', 'NNB'), ('같', 'VA'), ('아요', 'EC'), ('이', 'MM'), ('크림', 'NNP'), ('바르', 'NNP'), ('이', 'VCP'), ('면', 'EC'), ('아침', 'NNG'), ('부터', 'JX'), ('저녁', 'NNG'), ('이후', 'NNG'), ('까지', 'JX'), ('건조', 'NNG'), ('하', 'XSV'), ('지', 'EC'), ('않', 'VX'), ('더라고요', 'EC')]",1.0,"['크림', '비교', '확실히', '가려움', '효과', '있', '아토피', '올라오', '부분', '바르', '세라마이드', '크림', '특유', '들보', '촉감', '마무리', '옷감', '스치', '자극', '없', '좋', '얼굴', '바르', '크림', '간질', '간질', '림', '조금', '있', '크림', '안', '그러', '대신', '건성', '불구', '여름', '얼굴', '바르', '자잘', '자잘', '좁쌀', '턱밑', '가끔', '생기', '부분', '겨울', '바르', '괜찮', '같', '하', '막', '때', '밀리', '많이', '문지르', '실리콘', '연고', '밀리', '약간', '밀리', '그렇', '화장', '때', '막', '문제', '되', '하', '정도', '이러', '거슬리', '부분', '있', '하', '간지럽', '속', '보습', '확실히', '잡', '같', '크림', '바르', '아침', '저녁', '이후', '건조']",-8,0
"[('동생', 'NNG'), ('한테', 'JKB'), ('추천', 'NNG'), ('받', 'VV'), ('아서', 'EC'), ('쓰', 'VV'), ('어', 'EC'), ('보', 'VX'), ('기', 'ETN'), ('시작', 'NNG'), ('하', 'XSV'), ('았', 'EP'), ('는데', 'EC'), ('자극', 'NNG'), ('없', 'VA'), ('고', 'EC'), ('너무', 'MAG'), ('좋', 'VA'), ('아요', 'EC'), ('종류', 'NNG'), ('별', 'XSN'), ('로', 'JKB'), ('매번', 'MAG'), ('구입', 'NNG'), ('하', 'XSV'), ('아서', 'EC'), ('사용', 'NNG'), ('중', 'NNB'), ('이', 'VCP'), ('ㅂ니다', 'EC')]",1.0,"['동생', '추천', '받', '쓰', '시작', '자극', '없', '너무', '좋', '종류', '매번', '구입', '사용']",2,1
"[('하', 'NNG'), ('이건', 'NNP'), ('진짜', 'MAG'), ('제가', 'NNP'), ('사랑', 'NNG'), ('하', 'XSV'), ('는', 'ETM'), ('제품', 'NNG'), ('이', 'VCP'), ('ㄴ데요', 'EC'), ('ㄹㅇ', 'NA'), ('보', 'NNB'), ('들보', 'NNP'), ('들', 'XSN'), ('촉촉', 'XR'), ('하지만', 'MAJ'), ('끈적이', 'VV'), ('지', 'EC'), ('는', 'JX'), ('않', 'VX'), ('는', 'ETM'), ('그런제품인ㄷ요', 'NA'), ('겨울', 'NNG'), ('에', 'JKB'), ('쓰기', 'NNP'), ('ㄹㅇ', 'NA'), ('좋', 'VA'), ('아요', 'EC'), ('물론', 'MAG'), ('여름', 'NNG'), ('도', 'JX'), ('좋', 'VA'), ('아요', 'EC'), ('피부', 'NNG'), ('가', 'JKS'), ('막', 'MAG'), ('제가', 'NNP'), ('다', 'MAG'), ('뜯기', 'VV'), ('어', 'EC'), ('나가', 'VX'), ('거든요', 'EC'), ('건조', 'NNG'), ('하', 'XSV'), ('면', 'EC'), ('근데', 'MAJ'), ('이거', 'NP'), ('를', 'JKO'), ('바르', 'VA'), ('면', 'EC'), ('그', 'NP'), ('게', 'EC'), ('잠잠', 'XR'), ('하', 'XSA'), ('아', 'EC'), ('지', 'VX'), ('어요', 'EC'), ('ㄹㅇ', 'NA'), ('좋', 'VA'), ('아요', 'EC'), ('여려붖', 'NA'), ('ㅠ', 'NA')]",1.0,"['하', '이건', '진짜', '제가', '사랑', '제품', '들보', '촉촉', '끈적이', '겨울', '', '', '물론', '여름', '좋', '피부', '막', '제가', '다', '뜯기', '건조', '바르', '잠잠', '좋']",5,1
"[('이것', 'NP'), ('는', 'JX'), ('여름', 'NNG'), ('에', 'JKB'), ('ㄴ', 'JX'), ('쓰', 'VV'), ('기', 'ETN'), ('에', 'JKB'), ('ㄴ', 'JX'), ('두껍', 'VA'), ('ㄹ', 'ETM'), ('순', 'NNP'), ('있', 'VV'), ('는데', 'EC'), ('저', 'NP'), ('같', 'VA'), ('은', 'ETM'), ('건성', 'NNG'), ('에', 'JKB'), ('는', 'JX'), ('여름', 'NNG'), ('에', 'JKB'), ('도', 'JX'), ('살짝', 'MAG'), ('올리', 'VV'), ('어', 'EC'), ('쓰', 'VV'), ('어도', 'EC'), ('좋', 'VA'), ('더라고요', 'EC')]",1.0,"['여름', '쓰', '두껍', '순', '있', '같', '건성', '여름', '살짝', '올리', '쓰', '좋']",1,1
"[('생각', 'NNG'), ('보다', 'JKB'), ('좀', 'MAG'), ('무겁', 'VA'), ('ㄴ', 'ETM'), ('편', 'NNB'), ('이', 'VCP'), ('라', 'EC'), ('양', 'NNG'), ('을', 'JKO'), ('적', 'VA'), ('게', 'EC'), ('쓰', 'VV'), ('는데', 'EC'), ('적', 'VA'), ('게', 'EC'), ('발라', 'NNP'), ('도', 'JX'), ('보습', 'NNG'), ('이', 'JKS'), ('잘', 'MAG'), ('되', 'VV'), ('어요', 'EC')]",1.0,"['생각', '좀', '무겁', '양', '적', '쓰', '적', '발라', '보습', '잘', '되']",-1,0
"[('고', 'XPN'), ('보습', 'NNG'), ('크림', 'NNP'), ('으로', 'JKB'), ('피부', 'NNP'), ('장벽', 'NNG'), ('강화', 'NNG'), ('에', 'JKB'), ('효과', 'NNG'), ('적', 'XSN'), ('이', 'VCP'), ('에요', 'EC'), ('텍스처', 'NNP'), ('는', 'JX'), ('리치', 'NNP'), ('하지', 'NNP'), ('만', 'JX'), ('끈적이', 'VV'), ('지', 'EC'), ('않', 'VX'), ('고', 'EC'), ('흡수', 'NNG'), ('가', 'JKS'), ('빠르', 'VA'), ('아서', 'EC'), ('건성', 'NNG'), ('이나', 'JC'), ('민감성', 'NNG'), ('피부', 'NNG'), ('에', 'JKB'), ('도', 'JX'), ('적합', 'XR'), ('하', 'XSA'), ('어요', 'EC'), ('특히', 'MAG'), ('겨울철', 'NNG'), ('이나', 'JC'), ('피부', 'NNG'), ('가', 'JKS'), ('예민', 'XR'), ('하', 'XSA'), ('아', 'EC'), ('지', 'VX'), ('었', 'EP'), ('을', 'ETM'), ('때', 'NNG'), ('진정', 'NNG'), ('효과', 'NNG'), ('가', 'JKS'), ('확실', 'XR'), ('하', 'XSA'), ('어요', 'EC')]",1.0,"['보습', '크림', '피부', '장벽', '강화', '효과', '텍스처', '리치', '하지', '끈적이', '흡수', '빠르', '건성', '민감성', '피부', '적합', '특히', '겨울철', '피부', '예민', '때', '진정', '효과', '확실']",3,1
